場景,,回應-是,是數值,回應-否,否數值
w1,這個人在開挖土機在幹嘛呢?要阻止他嗎?,工人覺得有點疑惑還是收工了，清淤工程已停止,v+0,原來是在進行清理水庫淤泥的工程，工程繼續,u-rand(3~8)
w1,水表面有一大塊綠色的東西在漂，要處理嗎？,原來是藻類，啟動除藻，水質維持正常,v+0,"藻華大量繁殖，水庫優養化，部分水源無法使用
",v-rand(15~30)，s+rand(3~6)
w1,有人在釣魚呢，要阻止他嗎?,釣客被依法取締，水庫並非釣魚場所,v+0,釣客繼續釣魚，魚餌、鉛錘沉入水底汙染水質,v-rand(1~3)
w1,這邊的土面有一些鬆動呢!要做什麼嗎,,,,
fo,河面上有很多翻肚的魚，要處理嗎？,工廠洩漏的汙染源汙染了水域導致的,v-rand(5~10),汙染持續擴散，大範圍水源受影響,v-rand(25~50)，s +rand(5~10)
fo,有幾個看著冒出奇怪液體的桶，要處理嗎？,確認是違法棄置有毒廢液，妥善清除,v+0,桶子腐蝕後液體滲入土壤與地下水,v-rand(8~18)
fo,,,,,
t1,有人在水渠用水管往田裡接水，要阻止他嗎？,確認是盜引灌溉水，制止了違規行為,v-rand(2~5),"非法抽水沒被阻止，被抽得更多了
",v -rand(5~12)
t1,有一批空桶子被丟在溝渠旁，要處理嗎？,確認是農藥空桶違法棄置，妥善清運並未汙染,v+0,"殘留農藥隨雨水滲漏進水渠與土地中
",v-rand(4~10)
,,,,,
s1,街道上有個消防栓一直在流出水呢，要處理嗎？,確認消防栓未確實關閉，已做處理,v-rand(1~3),持續漏水，大量乾淨水源白白流失,v-rand(5~12)，s +rand(2~4)
,,,,,
